,Unnamed: 0,Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor
1331,1331,Intel Celeron N2920,CPU,2013-12-01,22.0,7.0,,,1860.0,Intel,Intel
1332,1332,AMD FX-4100,CPU,2011-10-12,32.0,95.0,315.0,1200.0,3600.0,Unknown,AMD
1333,1333,Intel Core i3-8121U,CPU,2018-05-05,10.0,28.0,123.0,,2200.0,Intel,Intel
1334,1334,Intel Pentium G6951,CPU,2010-09-01,32.0,73.0,81.0,382.0,2800.0,Intel,Intel
1335,1335,AMD Sempron 2300+,CPU,2001-01-01,130.0,62.0,101.0,63.0,1583.0,Unknown,AMD
1336,1336,AMD FX-6130,CPU,2012-10-23,32.0,95.0,315.0,1200.0,3600.0,Unknown,AMD
1337,1337,AMD Phenom II X4 B93,CPU,2009-10-01,45.0,95.0,258.0,758.0,2800.0,Unknown,AMD
1338,1338,AMD Opteron 242,CPU,2003-04-22,130.0,85.0,193.0,106.0,1600.0,Unknown,AMD
1339,1339,AMD Ryzen Threadripper 3980X,CPU,2019-11-14,7.0,280.0,74.0,3800.0,3500.0,TSMC,AMD
1340,1340,Intel Core 2 Duo E4700,CPU,2008-03-02,65.0,65.0,111.0,167.0,2600.0,Intel,Intel
1341,1341,Intel Core i3-2332M,CPU,2011-09-01,32.0,35.0,149.0,624.0,2200.0,Intel,Intel
1342,1342,Intel Core i7-870,CPU,2009-09-08,45.0,95.0,296.0,774.0,2933.0,Intel,Intel
1343,1343,AMD A6-1450,CPU,2013-05-23,32.0,8.0,246.0,1178.0,1000.0,Unknown,AMD
1344,1344,Intel Pentium D 960,CPU,2006-05-02,65.0,130.0,140.0,376.0,3600.0,Intel,Intel
1345,1345,Intel Core i7-10700,CPU,2020-04-30,14.0,65.0,,,2900.0,Intel,Intel
1346,1346,AMD Opteron 842,CPU,2003-06-30,130.0,85.0,193.0,106.0,1600.0,Unknown,AMD
1347,1347,Intel Core Solo T1400,CPU,2006-01-05,65.0,27.0,90.0,151.0,1833.0,Intel,Intel
1348,1348,AMD Athlon 64 4000+,CPU,2001-01-01,90.0,89.0,199.0,233.0,2400.0,Unknown,AMD
1349,1349,AMD A4-3305M,CPU,2011-06-14,32.0,35.0,228.0,1178.0,1900.0,Unknown,AMD
1350,1350,AMD Ryzen 5 2600E,CPU,2018-09-19,12.0,65.0,192.0,4800.0,3100.0,GF,AMD
1351,1351,Intel Core i9-9880H,CPU,2019-04-23,14.0,45.0,149.0,,2300.0,Intel,Intel
1352,1352,Intel Core i7-4558U,CPU,2013-06-04,22.0,28.0,118.0,1300.0,2800.0,Intel,Intel
1353,1353,Intel Core i7-3940XM,CPU,2012-09-03,22.0,55.0,160.0,1400.0,3000.0,Intel,Intel
1354,1354,AMD Opteron 250 HE,CPU,2005-03-01,90.0,55.0,,106.0,2400.0,Unknown,AMD
1355,1355,Intel Xeon W3503,CPU,2009-03-30,45.0,130.0,263.0,731.0,2400.0,Intel,Intel
1356,1356,AMD Athlon 64 3000+,CPU,2001-01-01,90.0,51.0,84.0,69.0,2000.0,Unknown,AMD
1357,1357,Intel Core i9-9900K,CPU,2018-10-19,14.0,95.0,180.0,,3600.0,Intel,Intel
1358,1358,Intel Pentium 4 HT EE 3.40,CPU,2004-06-21,130.0,110.0,237.0,178.0,3400.0,Intel,Intel
1359,1359,Intel Xeon Silver 4116,CPU,2017-07-11,14.0,85.0,,8000.0,2100.0,Intel,Intel
1360,1360,AMD Phenom X3 8450,CPU,2008-04-23,65.0,95.0,285.0,450.0,2100.0,Unknown,AMD
1361,1361,Intel Core i3-530,CPU,2010-01-07,32.0,73.0,81.0,382.0,2933.0,Intel,Intel
1362,1362,AMD Athlon II X4 641,CPU,2012-02-06,32.0,100.0,228.0,1178.0,2800.0,Unknown,AMD
1363,1363,AMD Sempron 3400+,CPU,2005-10-01,90.0,62.0,84.0,63.0,2000.0,Unknown,AMD
